bowler,Gautam Gambhir,Suresh Raina,Steve Smith,Virat Kohli,MS Dhoni,Robin Uthappa,Shikhar Dhawan,Shane Watson,de Villiers,Michael Hussey,Rohit Sharma,David Warner,Manish Pandey,Yusuf Pathan,Dinesh Karthik,Parthiv Patel,Aaron Finch,Dwayne Smith,Murali Vijay,Sanju Samson,Ajinkya Rahane,David Miller,Yuvraj Singh,Brendon McCullum,Chris Gayle,Kieron Pollard
Gautam Gambhir,0,7,13,21,6,0,11,12,4,9,4,21,20,13,19,25,23,3,15,24,10,18,15,17,8,2
Suresh Raina,6,0,15,13,11,6,6,9,2,12,2,13,22,15,21,25,23,10,17,24,2,20,17,19,1,5
Steve Smith,14,19,0,24,11,14,22,23,17,8,17,24,7,0,6,12,9,13,2,10,21,5,2,4,20,16
Virat Kohli,10,6,15,0,13,10,3,2,7,14,7,0,22,15,21,25,23,12,17,24,4,20,17,19,5,9
MS Dhoni,2,8,11,24,0,2,13,16,6,5,6,24,20,11,19,23,21,1,13,22,10,18,13,17,9,4
Robin Uthappa,0,7,13,21,6,0,11,12,4,9,4,21,20,13,19,25,23,3,15,24,10,18,15,17,8,2
Shikhar Dhawan,8,4,15,11,13,8,0,1,5,14,5,11,22,15,21,25,23,10,17,24,2,20,17,19,3,7
Shane Watson,8,4,15,10,13,8,1,0,5,14,5,10,22,15,21,25,23,12,17,24,2,20,17,19,3,7
de Villiers,3,5,13,18,8,3,10,11,0,12,0,18,22,13,21,25,23,6,15,24,9,20,15,17,7,2
Michael Hussey,3,14,3,24,1,3,21,22,10,0,10,24,16,3,14,23,19,2,7,20,18,13,7,12,17,7
Rohit Sharma,3,5,13,18,8,3,10,11,0,12,0,18,22,13,21,25,23,6,15,24,9,20,15,17,7,2
David Warner,10,6,15,0,13,10,3,2,7,14,7,0,22,15,21,25,23,12,17,24,4,20,17,19,5,9
Manish Pandey,14,19,8,24,12,14,22,23,17,11,17,24,0,8,1,10,4,13,6,5,21,2,6,3,20,16
Yusuf Pathan,14,19,0,24,11,14,22,23,17,8,17,24,7,0,6,12,9,13,2,10,21,5,2,4,20,16
Dinesh Karthik,14,19,8,24,12,14,22,23,17,11,17,24,1,8,0,10,4,13,5,7,21,2,5,3,20,16
Parthiv Patel,14,19,9,24,12,14,22,23,17,11,17,24,3,9,4,0,2,13,7,1,21,5,7,6,20,16
Aaron Finch,14,19,9,24,12,14,22,23,17,11,17,24,2,9,3,4,0,13,7,1,21,5,7,6,20,16
Dwayne Smith,1,8,13,23,1,1,11,12,5,7,5,23,20,13,19,25,21,0,15,22,10,18,15,17,9,4
Murali Vijay,14,19,2,24,12,14,22,23,17,9,17,24,7,2,6,11,8,13,0,9,21,5,0,4,20,16
Sanju Samson,14,19,9,24,12,14,22,23,17,11,17,24,3,9,4,2,1,13,7,0,21,5,7,6,20,16
Ajinkya Rahane,8,3,15,12,11,8,2,3,5,14,5,12,22,15,21,25,23,10,17,24,0,20,17,19,1,7
David Miller,14,19,6,24,12,14,22,23,17,11,17,24,3,6,1,10,8,13,4,9,21,0,4,1,20,16
Yuvraj Singh,14,19,2,24,12,14,22,23,17,9,17,24,7,2,6,11,8,13,0,9,21,5,0,4,20,16
Brendon McCullum,14,19,6,24,12,14,22,23,17,11,17,24,5,6,2,10,8,13,2,9,21,1,2,0,20,16
Chris Gayle,8,1,15,13,11,8,3,4,4,12,4,13,22,15,21,25,23,10,17,24,1,20,17,19,0,7
Kieron Pollard,1,6,13,20,6,1,11,12,1,10,1,20,20,13,19,25,23,5,15,24,9,18,15,17,8,0
