bowler,Gautam Gambhir,Suresh Raina,Steve Smith,Virat Kohli,MS Dhoni,Robin Uthappa,Shikhar Dhawan,Shane Watson,de Villiers,Michael Hussey,Rohit Sharma,David Warner,Manish Pandey,Yusuf Pathan,Dinesh Karthik,Parthiv Patel,Aaron Finch,Dwayne Smith,Murali Vijay,Sanju Samson,Ajinkya Rahane,David Miller,Yuvraj Singh,Brendon McCullum,Chris Gayle,Kieron Pollard
Gautam Gambhir,0,14,24,3,5,7,7,25,22,23,21,1,19,10,16,3,11,7,11,11,19,18,14,1,5,16
Suresh Raina,9,0,5,19,9,1,2,19,2,7,24,9,19,4,8,9,17,19,9,17,25,5,9,9,19,9
Steve Smith,19,2,0,19,19,8,4,4,13,9,6,19,14,10,14,19,2,1,14,10,7,14,19,19,10,14
Virat Kohli,1,16,24,0,13,7,4,25,22,23,21,2,20,9,13,3,10,4,12,10,16,18,4,18,7,13
MS Dhoni,2,13,24,15,0,4,4,25,21,22,20,12,17,9,17,1,10,19,7,10,22,16,3,7,4,13
Robin Uthappa,10,3,20,15,10,0,1,9,6,2,21,10,23,4,22,10,5,18,19,6,25,17,15,10,8,23
Shikhar Dhawan,7,5,15,7,7,1,0,15,2,2,23,7,20,4,20,7,17,19,18,6,25,23,7,7,14,20
Shane Watson,19,12,8,19,19,6,8,0,2,3,13,19,16,4,15,19,1,11,18,5,14,10,19,19,6,17
de Villiers,18,9,17,18,18,5,1,1,0,8,16,18,12,7,11,18,3,13,13,3,25,10,18,18,6,13
Michael Hussey,14,9,11,14,14,1,2,4,7,0,10,14,25,6,14,14,3,12,14,4,14,12,14,14,8,14
Rohit Sharma,18,6,4,18,18,5,6,6,6,14,0,18,1,18,6,18,2,3,16,6,16,6,18,25,6,14
David Warner,1,16,24,4,14,7,7,25,21,23,20,0,19,10,10,3,12,7,16,12,21,18,2,6,4,14
Manish Pandey,10,7,18,10,16,16,7,25,2,20,1,10,0,19,3,10,7,6,20,20,5,20,10,10,20,4
Yusuf Pathan,10,8,20,10,10,2,4,5,6,3,22,10,24,0,25,10,1,19,17,9,23,17,10,10,7,20
Dinesh Karthik,13,11,21,13,20,19,16,25,5,22,17,6,6,24,0,11,6,13,1,2,22,18,6,6,3,4
Parthiv Patel,1,17,24,7,4,9,9,25,21,22,20,3,19,12,15,0,13,15,5,13,22,17,2,5,9,8
Aaron Finch,17,24,8,17,17,5,12,1,5,4,9,17,25,3,12,17,0,9,12,7,9,12,17,17,1,12
Dwayne Smith,3,16,1,3,24,8,11,11,11,25,8,3,11,22,11,10,7,0,16,16,2,16,16,3,16,23
Murali Vijay,9,11,21,11,5,11,11,25,18,22,20,11,24,11,1,2,6,19,0,6,22,6,11,3,10,4
Sanju Samson,13,19,22,13,13,5,9,6,1,2,21,13,25,11,7,13,3,20,12,0,24,3,13,23,7,10
Ajinkya Rahane,6,13,4,5,13,10,13,13,12,13,6,10,3,9,13,13,2,1,13,13,0,13,13,6,13,13
David Miller,12,4,23,16,20,5,14,8,3,21,14,16,25,10,16,10,6,12,6,1,24,0,16,22,2,8
Yuvraj Singh,14,14,24,5,3,7,5,25,21,22,20,1,19,9,9,2,11,17,14,11,22,18,0,3,8,13
Brendon McCullum,1,14,24,16,9,6,6,25,21,23,21,3,17,10,10,2,12,6,4,19,17,20,4,0,15,12
Chris Gayle,3,19,23,14,11,7,13,10,2,14,21,3,25,8,8,11,1,19,18,3,24,3,16,21,0,17
Kieron Pollard,14,12,22,14,12,20,17,25,14,23,18,9,9,20,2,1,5,19,2,4,23,7,9,7,5,0
