bowler,Gautam Gambhir,Suresh Raina,Steve Smith,Virat Kohli,MS Dhoni,Robin Uthappa,Shikhar Dhawan,Shane Watson,de Villiers,Michael Hussey,Rohit Sharma,David Warner,Manish Pandey,Yusuf Pathan,Dinesh Karthik,Parthiv Patel,Aaron Finch,Dwayne Smith,Murali Vijay,Sanju Samson,Ajinkya Rahane,David Miller,Yuvraj Singh,Brendon McCullum,Chris Gayle,Kieron Pollard
Gautam Gambhir,0,2,5,3,4,1,7,8,9,11,18,16,19,14,6,17,13,10,12,15,20,22,21,23,25,24
Suresh Raina,4,0,5,1,3,2,6,7,9,10,12,17,16,18,8,15,14,13,11,20,19,22,21,23,25,24
Steve Smith,7,4,0,1,3,2,6,5,9,8,11,18,15,17,10,12,13,14,16,19,20,21,22,23,24,25
Virat Kohli,7,3,5,0,2,1,4,6,9,8,11,13,12,16,10,15,14,17,18,19,20,21,22,23,24,25
MS Dhoni,6,2,5,1,0,3,4,7,9,8,11,16,12,15,10,14,13,16,18,19,20,21,22,23,24,25
Robin Uthappa,4,2,5,1,3,0,6,7,8,9,11,13,14,12,10,16,15,17,18,19,20,22,21,23,25,24
Shikhar Dhawan,9,6,8,2,3,5,0,1,7,4,13,10,12,11,14,16,15,17,18,19,20,21,22,23,24,25
Shane Watson,12,8,7,4,6,5,3,0,1,2,13,9,10,11,14,15,16,17,18,19,20,21,22,23,24,25
de Villiers,13,12,10,5,9,6,4,2,0,1,11,3,7,8,14,15,16,17,18,19,20,21,22,23,25,24
Michael Hussey,13,12,10,6,8,11,3,2,1,0,9,4,5,7,14,15,16,17,18,19,20,21,22,23,24,25
Rohit Sharma,13,11,6,4,7,9,10,5,3,2,0,8,1,12,14,15,16,17,18,19,20,21,22,23,24,25
David Warner,13,12,11,8,10,9,6,4,2,3,7,0,5,1,14,15,16,17,18,19,20,21,22,23,24,25
Manish Pandey,13,12,10,9,8,11,7,4,3,2,1,5,0,6,14,15,16,17,18,19,20,21,22,23,24,25
Yusuf Pathan,12,13,10,8,9,7,5,4,3,2,11,1,6,0,14,15,16,17,18,19,20,21,22,23,24,25
Dinesh Karthik,5,4,6,7,9,8,13,14,17,18,20,22,23,24,0,12,10,2,1,11,3,21,15,16,25,19
Parthiv Patel,15,11,6,8,7,10,16,17,21,20,22,23,24,25,9,0,1,2,13,3,19,5,4,12,14,18
Aaron Finch,13,11,6,9,9,12,16,19,21,20,22,23,24,25,5,1,0,2,8,3,15,7,4,14,17,18
Dwayne Smith,8,9,11,12,13,14,17,19,21,20,22,23,24,25,2,5,1,0,4,3,7,15,6,10,18,16
Murali Vijay,7,6,8,10,13,12,16,17,18,20,21,23,24,25,1,15,4,3,0,5,2,19,14,11,22,9
Sanju Samson,14,16,13,15,12,17,18,19,21,20,22,24,23,25,8,5,1,2,9,0,6,3,3,7,10,11
Ajinkya Rahane,10,9,11,13,16,15,17,19,20,21,22,23,24,25,2,12,8,5,1,4,0,14,7,6,18,3
David Miller,15,17,13,14,12,16,18,19,21,20,22,24,23,25,10,5,6,8,11,3,9,0,1,4,2,7
Yuvraj Singh,12,12,14,15,16,17,18,19,20,21,22,23,24,25,10,8,7,5,11,3,9,2,0,1,6,4
Brendon McCullum,13,12,14,15,16,17,18,19,20,21,22,23,24,25,11,9,8,7,10,4,6,3,2,0,5,1
Chris Gayle,15,16,13,14,12,17,18,19,21,20,22,24,23,25,10,5,6,8,11,4,9,1,2,3,0,7
Kieron Pollard,13,12,14,15,16,17,18,19,20,21,22,23,24,25,11,10,9,7,6,5,3,4,2,1,8,0
