bowler,Gautam Gambhir,Suresh Raina,Steve Smith,Virat Kohli,MS Dhoni,Robin Uthappa,Shikhar Dhawan,Shane Watson,de Villiers,Michael Hussey,Rohit Sharma,David Warner,Manish Pandey,Yusuf Pathan,Dinesh Karthik,Parthiv Patel,Aaron Finch,Dwayne Smith,Murali Vijay,Sanju Samson,Ajinkya Rahane,David Miller,Yuvraj Singh,Brendon McCullum,Chris Gayle,Kieron Pollard
Gautam Gambhir,0,18,15,19,24,12,22,7,17,6,14,25,1,20,9,4,2,8,3,5,11,13,10,21,23,16
Suresh Raina,20,0,10,17,9,15,19,5,12,7,14,21,1,13,8,4,2,16,6,3,18,22,11,25,24,23
Steve Smith,16,11,0,12,8,13,20,5,10,1,14,17,2,15,9,3,7,18,6,4,22,23,19,24,25,20
Virat Kohli,20,13,11,0,19,16,22,5,10,4,8,17,1,18,7,6,3,14,9,2,15,21,12,25,24,23
MS Dhoni,20,9,7,19,0,13,15,6,12,5,18,14,1,10,11,4,3,17,8,2,22,21,16,24,25,23
Robin Uthappa,11,16,13,19,13,0,9,6,7,8,18,24,1,22,10,5,3,15,2,4,20,21,12,23,25,17
Shikhar Dhawan,20,18,19,21,14,9,0,7,13,6,12,22,4,10,8,5,2,15,1,3,16,17,11,25,24,23
Shane Watson,9,6,11,3,10,14,5,0,7,3,16,2,1,15,8,12,18,21,20,17,22,25,24,19,23,13
de Villiers,21,17,10,14,18,9,16,7,0,4,13,20,3,11,8,6,2,15,5,1,19,22,12,24,23,25
Michael Hussey,10,13,6,8,16,20,5,9,2,0,17,12,1,19,3,4,11,24,14,7,25,21,22,14,23,18
Rohit Sharma,14,15,16,7,22,18,13,5,9,6,0,12,3,24,11,4,1,23,8,2,17,20,10,21,25,19
David Warner,19,16,13,15,12,22,21,2,14,4,9,0,1,10,7,5,6,17,8,3,18,20,11,24,25,23
Manish Pandey,1,2,13,8,10,3,9,16,6,11,14,7,0,20,4,17,24,12,18,21,19,25,23,15,22,5
Yusuf Pathan,16,8,9,14,6,17,4,3,5,2,18,12,1,0,11,15,13,24,7,10,23,25,20,21,22,19
Dinesh Karthik,9,6,11,11,18,14,7,8,10,3,17,13,1,20,0,4,2,15,24,4,21,22,19,23,25,16
Parthiv Patel,9,6,14,13,15,2,4,18,8,7,16,17,11,24,12,0,3,21,1,5,23,25,20,22,19,10
Aaron Finch,5,9,22,14,19,11,7,24,4,17,13,20,23,25,12,15,0,3,18,21,8,16,10,1,6,2
Dwayne Smith,7,14,22,18,21,12,19,20,11,16,24,23,3,25,15,9,1,0,8,5,17,10,6,2,13,4
Murali Vijay,3,5,11,15,12,2,6,21,8,14,19,18,10,20,22,1,7,12,0,4,25,17,23,16,24,9
Sanju Samson,8,3,14,9,16,7,6,24,1,12,2,17,21,25,15,11,17,19,5,0,20,23,22,13,4,10
Ajinkya Rahane,7,12,22,15,24,19,20,17,14,11,12,21,3,25,18,8,1,10,23,2,0,9,4,5,16,6
David Miller,10,19,21,18,22,17,14,24,13,8,15,22,12,25,16,20,2,7,9,6,11,0,5,1,3,4
Yuvraj Singh,10,18,22,19,21,17,14,24,12,16,13,20,9,25,15,11,1,5,23,7,4,6,0,2,8,3
Brendon McCullum,16,20,22,21,25,17,19,13,18,8,14,24,5,23,15,9,1,3,12,4,10,2,6,0,11,7
Chris Gayle,14,21,22,18,25,19,20,13,16,9,15,24,5,23,17,7,1,10,12,3,11,2,4,8,0,6
Kieron Pollard,15,22,18,20,25,16,21,10,24,13,17,23,2,19,14,5,1,6,6,3,12,4,8,9,11,0
