bowler,Gautam Gambhir,Suresh Raina,Steve Smith,Virat Kohli,MS Dhoni,Robin Uthappa,Shikhar Dhawan,Shane Watson,de Villiers,Michael Hussey,Rohit Sharma,David Warner,Manish Pandey,Yusuf Pathan,Dinesh Karthik,Parthiv Patel,Aaron Finch,Dwayne Smith,Murali Vijay,Sanju Samson,Ajinkya Rahane,David Miller,Yuvraj Singh,Brendon McCullum,Chris Gayle,Kieron Pollard
Gautam Gambhir,0,10,15,20,14,1,9,18,6,4,19,16,17,13,21,11,12,3,2,23,5,25,22,8,24,7
Suresh Raina,11,0,10,20,13,9,1,18,5,12,15,19,8,17,22,6,7,14,16,21,3,24,23,4,25,2
Steve Smith,15,3,0,11,12,20,9,10,5,14,21,25,1,23,19,5,2,16,22,13,7,17,18,4,24,8
Virat Kohli,19,17,5,0,2,21,18,4,11,22,23,25,8,24,3,10,7,14,20,1,15,13,6,12,9,16
MS Dhoni,16,10,8,6,0,15,12,1,9,21,23,25,14,24,5,18,3,4,19,16,13,22,11,2,20,7
Robin Uthappa,1,10,16,20,14,0,7,18,7,6,17,15,18,12,21,11,13,4,2,23,3,25,22,9,24,5
Shikhar Dhawan,8,1,12,20,14,9,0,18,5,10,16,19,11,17,22,5,7,13,15,21,3,24,23,4,25,2
Shane Watson,17,13,3,4,1,18,15,0,14,22,23,25,8,24,2,19,4,9,20,10,16,21,6,7,11,12
de Villiers,8,5,12,19,14,10,7,18,0,9,16,20,13,17,22,3,6,11,14,21,1,24,23,4,25,2
Michael Hussey,3,9,17,20,18,6,7,19,5,0,14,10,16,1,22,4,14,12,11,21,2,24,23,13,25,8
Rohit Sharma,14,5,15,19,18,13,8,20,4,3,0,9,12,6,23,1,11,16,17,21,2,22,24,10,25,7
David Warner,5,9,17,19,18,3,10,20,11,2,8,0,16,1,22,6,14,15,7,21,3,23,24,13,25,12
Manish Pandey,15,3,1,12,12,19,5,10,7,11,16,24,0,21,22,4,2,18,23,14,9,17,20,6,25,8
Yusuf Pathan,4,10,17,19,18,3,11,20,8,2,9,1,16,0,22,7,15,13,6,21,5,23,24,14,25,12
Dinesh Karthik,17,14,9,4,2,18,15,1,13,22,23,25,12,24,0,19,6,10,20,8,16,21,5,7,3,11
Parthiv Patel,11,4,10,19,17,12,5,20,2,6,13,18,9,14,22,0,7,14,16,21,1,23,24,8,25,3
Aaron Finch,13,5,2,16,10,15,7,12,3,14,18,23,4,22,19,9,0,11,17,20,8,24,21,1,25,6
Dwayne Smith,1,12,15,18,6,3,11,14,4,10,20,22,17,16,19,13,9,0,2,23,8,25,20,5,24,7
Murali Vijay,1,11,17,19,13,3,10,16,6,4,20,15,18,7,21,12,14,2,0,23,5,25,22,9,24,8
Sanju Samson,19,13,5,1,7,21,15,6,14,22,23,25,8,24,9,12,10,18,20,0,17,2,3,11,4,15
Ajinkya Rahane,8,4,11,20,17,9,5,19,1,7,16,18,13,14,22,2,10,11,15,21,0,24,23,6,25,3
David Miller,21,12,4,5,9,22,15,8,14,20,18,25,6,24,13,10,7,19,23,1,17,0,2,11,3,16
Yuvraj Singh,18,14,8,4,6,20,15,3,16,22,23,25,10,24,5,19,9,12,21,2,17,7,0,11,1,13
Brendon McCullum,7,2,11,18,9,10,5,14,3,15,17,23,13,20,19,8,4,12,16,22,6,25,21,0,24,1
Chris Gayle,18,15,8,5,7,19,14,4,16,22,23,25,9,24,2,20,10,12,21,3,17,6,1,11,0,13
Kieron Pollard,8,1,13,20,14,9,2,17,5,10,16,19,12,18,21,6,7,11,15,22,4,24,23,2,25,0
