bowler,Gautam Gambhir,Suresh Raina,Steve Smith,Virat Kohli,MS Dhoni,Robin Uthappa,Shikhar Dhawan,Shane Watson,de Villiers,Michael Hussey,Rohit Sharma,David Warner,Manish Pandey,Yusuf Pathan,Dinesh Karthik,Parthiv Patel,Aaron Finch,Dwayne Smith,Murali Vijay,Sanju Samson,Ajinkya Rahane,David Miller,Yuvraj Singh,Brendon McCullum,Chris Gayle,Kieron Pollard
Gautam Gambhir,0,21,18,5,24,23,19,10,13,8,12,16,17,11,20,14,7,6,15,2,25,1,3,4,9,22
Suresh Raina,22,0,20,6,21,19,17,11,15,7,14,16,18,10,23,13,4,9,12,1,25,2,3,5,7,23
Steve Smith,19,18,0,4,16,20,21,7,15,11,10,24,12,13,17,22,5,8,25,2,14,3,1,9,6,23
Virat Kohli,14,12,9,0,4,1,19,3,5,25,11,10,15,17,7,20,21,23,23,8,16,6,2,22,13,18
MS Dhoni,24,21,18,4,0,19,23,11,16,6,12,14,17,10,20,13,3,9,15,5,25,2,1,7,8,22
Robin Uthappa,24,18,20,3,19,0,23,11,14,9,13,16,17,7,22,12,5,10,21,2,25,3,1,7,6,14
Shikhar Dhawan,18,14,23,6,21,22,0,12,16,7,11,19,13,10,20,15,4,9,24,1,25,3,2,8,5,17
Shane Watson,11,16,8,4,13,15,18,0,17,23,14,21,10,24,5,22,7,20,25,2,9,1,3,19,6,12
de Villiers,13,17,18,5,16,19,20,11,0,12,9,21,25,10,14,22,4,8,24,1,15,3,2,6,7,23
Michael Hussey,8,4,16,21,5,6,8,24,18,0,20,1,22,7,17,10,15,19,13,11,12,14,2,23,25,3
Rohit Sharma,15,20,11,5,15,14,19,13,8,17,0,18,24,22,9,23,4,10,25,1,6,2,3,7,12,21
David Warner,16,15,24,2,12,14,20,13,19,3,11,0,22,9,23,17,3,8,18,6,25,5,1,7,10,21
Manish Pandey,17,15,9,5,14,19,16,8,22,13,18,23,0,21,12,25,6,10,24,2,11,3,1,7,4,20
Yusuf Pathan,13,11,21,3,7,9,18,24,15,8,23,16,25,0,14,19,2,4,22,6,17,12,1,5,20,10
Dinesh Karthik,19,22,16,4,17,18,21,9,15,12,10,24,14,11,0,20,5,8,25,2,13,3,1,6,7,23
Parthiv Patel,15,13,24,6,13,11,16,19,21,6,17,20,25,10,22,0,2,8,18,4,23,3,1,5,9,12
Aaron Finch,15,13,11,22,3,9,14,19,2,24,10,20,18,16,6,16,0,21,25,5,6,4,1,23,11,8
Dwayne Smith,2,6,3,19,9,8,11,22,1,20,14,12,21,3,5,15,13,0,18,23,15,24,17,10,25,7
Murali Vijay,12,7,24,5,10,16,21,20,17,2,18,15,25,8,22,14,3,4,0,9,23,11,1,6,19,13
Sanju Samson,8,9,5,14,17,16,4,2,13,23,11,19,7,21,6,20,15,25,24,0,10,1,12,22,3,18
Ajinkya Rahane,20,18,16,4,19,24,25,8,14,11,7,22,13,12,15,17,3,10,23,1,0,2,5,9,6,21
David Miller,8,11,2,16,7,10,17,5,13,23,13,19,4,21,6,20,18,25,24,1,9,0,3,22,11,15
Yuvraj Singh,17,16,2,18,7,5,14,8,11,23,21,12,1,10,4,13,15,25,24,19,21,3,0,20,9,6
Brendon McCullum,4,6,12,20,5,8,14,23,3,25,17,16,11,9,2,7,18,13,22,19,15,21,1,0,24,10
Chris Gayle,16,5,5,12,10,14,9,14,8,23,19,18,4,21,12,20,7,25,24,1,10,2,3,22,0,17
Kieron Pollard,21,19,23,4,17,14,16,11,18,6,13,20,22,10,24,12,5,8,15,3,25,2,1,7,9,0
