bowler,Gautam Gambhir,Suresh Raina,Steve Smith,Virat Kohli,MS Dhoni,Robin Uthappa,Shikhar Dhawan,Shane Watson,de Villiers,Michael Hussey,Rohit Sharma,David Warner,Manish Pandey,Yusuf Pathan,Dinesh Karthik,Parthiv Patel,Aaron Finch,Dwayne Smith,Murali Vijay,Sanju Samson,Ajinkya Rahane,David Miller,Yuvraj Singh,Brendon McCullum,Chris Gayle,Kieron Pollard
Gautam Gambhir,0,3,8,11,8,15,10,3,12,18,20,18,22,24,17,12,12,2,6,1,25,5,23,16,6,20
Suresh Raina,1,0,11,7,4,17,5,2,17,23,17,3,25,16,13,17,22,10,8,5,17,13,13,24,11,8
Steve Smith,5,15,0,2,3,23,22,7,23,9,9,1,12,17,16,23,17,5,21,7,17,4,17,9,12,12
Virat Kohli,15,18,4,0,2,20,19,15,20,12,25,6,15,9,6,20,20,14,9,6,20,9,4,13,1,3
MS Dhoni,7,12,5,3,0,20,13,17,20,15,25,2,19,9,9,20,20,15,7,9,20,5,18,13,4,1
Robin Uthappa,4,8,24,18,15,0,10,12,2,15,22,23,20,25,19,14,5,11,17,1,8,7,21,13,3,6
Shikhar Dhawan,2,4,19,10,4,12,0,1,12,22,21,17,25,11,9,12,12,7,6,2,23,7,24,16,19,17
Shane Watson,1,4,5,9,11,17,5,0,17,21,8,2,15,25,16,17,17,5,12,3,24,10,23,13,14,22
de Villiers,6,13,24,21,18,3,14,15,0,2,17,23,4,25,19,15,8,8,19,8,21,6,11,5,1,11
Michael Hussey,16,17,13,9,13,18,22,21,8,0,25,4,5,20,2,18,13,22,5,11,24,5,1,10,3,12
Rohit Sharma,6,5,4,14,20,18,11,3,9,25,0,7,8,17,14,11,20,2,20,1,10,16,18,20,13,20
David Warner,16,7,2,4,1,23,20,3,23,5,17,0,17,17,11,23,22,11,9,14,21,7,14,13,6,9
Manish Pandey,21,23,8,6,13,24,25,14,4,1,20,17,0,10,7,16,17,10,17,10,14,2,22,2,4,9
Yusuf Pathan,18,7,12,2,3,24,10,20,23,14,19,11,6,0,1,24,22,14,16,16,21,7,5,7,13,3
Dinesh Karthik,14,14,17,3,7,23,12,19,22,2,25,9,9,5,0,23,20,18,12,14,21,9,6,1,7,3
Parthiv Patel,4,7,24,20,16,14,8,10,10,16,21,23,9,25,21,0,3,2,18,1,12,5,18,12,6,14
Aaron Finch,6,12,17,21,19,7,11,14,8,5,23,23,14,25,17,3,0,8,14,1,12,4,22,10,2,20
Dwayne Smith,2,11,3,7,9,18,11,4,11,25,4,10,11,24,18,4,11,0,18,1,18,8,23,11,17,18
Murali Vijay,3,11,20,3,6,21,10,12,21,3,25,7,16,24,13,21,16,15,0,9,16,2,19,7,1,14
Sanju Samson,1,16,12,3,12,8,14,4,18,14,6,20,18,25,21,8,8,2,16,0,24,6,23,4,11,22
Ajinkya Rahane,22,4,11,17,14,4,20,22,17,21,17,24,7,25,14,11,8,8,10,11,0,2,14,3,1,4
David Miller,3,22,4,4,1,23,20,16,17,4,25,10,13,23,17,20,14,15,2,4,19,0,4,4,12,10
Yuvraj Singh,16,12,14,3,9,23,22,23,9,1,25,9,16,8,5,20,21,16,14,13,19,4,0,7,1,5
Brendon McCullum,16,24,11,4,8,22,21,17,8,4,25,14,4,18,1,22,18,14,4,2,18,3,8,0,12,13
Chris Gayle,7,19,18,2,4,16,24,20,7,6,25,7,15,23,14,20,10,22,3,10,10,10,4,17,0,1
Kieron Pollard,18,10,11,3,1,14,22,24,14,9,25,7,12,7,4,21,23,20,18,16,16,5,5,12,2,0
