bowler,Gautam Gambhir,Suresh Raina,Steve Smith,Virat Kohli,MS Dhoni,Robin Uthappa,Shikhar Dhawan,Shane Watson,de Villiers,Michael Hussey,Rohit Sharma,David Warner,Manish Pandey,Yusuf Pathan,Dinesh Karthik,Parthiv Patel,Aaron Finch,Dwayne Smith,Murali Vijay,Sanju Samson,Ajinkya Rahane,David Miller,Yuvraj Singh,Brendon McCullum,Chris Gayle,Kieron Pollard
Gautam Gambhir,0,23,10,17,16,6,24,19,25,9,13,18,15,22,7,5,3,2,11,20,12,4,1,21,13,8
Suresh Raina,15,0,10,5,4,13,7,3,6,14,9,2,12,1,11,20,18,17,23,24,8,19,16,25,21,22
Steve Smith,7,18,0,4,6,3,23,15,25,11,8,10,12,5,2,17,15,9,20,22,1,14,13,24,21,19
Virat Kohli,12,10,5,0,1,9,19,8,20,13,7,4,11,3,6,18,16,14,23,24,2,17,15,25,22,21
MS Dhoni,13,11,9,1,0,8,20,4,22,12,5,2,10,7,6,18,16,15,23,24,3,17,14,25,19,20
Robin Uthappa,5,21,6,14,11,0,24,15,25,2,3,16,8,18,1,13,10,9,20,22,4,12,7,23,18,17
Shikhar Dhawan,15,2,10,6,7,14,0,5,1,13,9,3,11,4,12,20,18,16,23,24,8,19,17,25,21,22
Shane Watson,13,7,12,5,3,9,18,0,20,10,2,1,4,11,8,19,16,15,23,24,6,17,14,25,21,22
de Villiers,15,2,10,6,7,14,1,5,0,13,9,4,11,3,12,20,18,16,23,24,8,19,17,25,21,22
Michael Hussey,7,22,13,19,15,1,24,14,25,0,3,18,2,20,4,8,6,11,17,21,10,9,5,23,12,16
Rohit Sharma,11,18,10,9,6,3,22,2,24,7,0,8,1,15,4,17,14,13,21,23,5,16,12,25,19,20
David Warner,13,6,10,3,2,11,16,1,18,12,5,0,9,8,7,20,17,14,23,24,4,19,15,25,21,22
Manish Pandey,13,21,10,12,7,3,24,4,25,2,1,8,0,19,5,16,11,15,20,22,6,17,9,23,14,18
Yusuf Pathan,12,3,5,1,2,10,15,8,14,13,9,6,11,0,7,20,18,16,23,24,4,19,17,25,22,21
Dinesh Karthik,5,21,3,11,7,1,24,14,25,6,4,13,9,17,0,16,12,8,20,22,2,14,9,23,19,18
Parthiv Patel,6,23,16,20,18,10,24,19,25,9,14,21,15,22,11,0,1,8,4,12,17,5,2,13,7,3
Aaron Finch,4,23,15,20,18,10,24,19,25,9,13,21,12,22,11,2,0,8,6,14,17,5,1,16,7,3
Dwayne Smith,2,23,11,19,18,6,24,21,25,10,13,20,16,22,8,7,5,0,9,15,12,1,4,17,14,3
Murali Vijay,10,23,16,20,18,12,24,19,25,11,14,21,15,22,13,1,4,9,0,5,17,3,7,8,6,2
Sanju Samson,10,23,14,19,18,11,24,20,25,11,16,21,15,22,13,4,7,8,2,0,17,5,9,1,6,3
Ajinkya Rahane,12,15,2,3,4,6,22,10,23,11,5,7,9,8,1,18,16,13,21,24,0,17,14,25,20,19
David Miller,5,23,14,20,18,8,24,19,25,9,15,21,17,22,10,4,6,2,7,12,16,0,3,13,10,1
Yuvraj Singh,3,23,14,20,18,8,24,19,25,6,13,21,12,22,11,2,1,7,10,16,15,4,0,17,9,5
Brendon McCullum,10,23,15,19,18,11,24,20,25,12,16,21,14,22,13,5,7,9,2,1,17,6,8,0,4,3
Chris Gayle,9,23,17,21,18,11,24,19,25,7,15,20,13,22,14,1,2,12,4,10,16,6,3,7,0,5
Kieron Pollard,7,23,14,19,18,11,24,20,25,12,16,21,15,22,13,3,2,6,4,9,17,1,5,10,8,0
