bowler,Gautam Gambhir,Suresh Raina,Steve Smith,Virat Kohli,MS Dhoni,Robin Uthappa,Shikhar Dhawan,Shane Watson,de Villiers,Michael Hussey,Rohit Sharma,David Warner,Manish Pandey,Yusuf Pathan,Dinesh Karthik,Parthiv Patel,Aaron Finch,Dwayne Smith,Murali Vijay,Sanju Samson,Ajinkya Rahane,David Miller,Yuvraj Singh,Brendon McCullum,Chris Gayle,Kieron Pollard
Gautam Gambhir,0,20,7,10,19,12,13,22,24,2,20,18,23,25,16,4,3,17,5,1,11,15,8,6,14,9
Suresh Raina,17,0,13,22,10,12,6,16,25,1,18,23,5,8,3,9,7,19,4,2,21,15,14,11,24,20
Steve Smith,7,23,0,12,18,3,24,15,20,22,5,19,11,21,13,10,8,9,25,1,6,2,4,16,17,14
Virat Kohli,16,24,7,0,20,19,10,18,25,2,13,21,17,23,4,3,5,12,6,1,14,11,8,9,22,15
MS Dhoni,17,13,11,16,0,14,5,21,18,1,23,19,7,15,3,9,6,22,4,2,25,12,8,10,24,20
Robin Uthappa,14,16,4,17,15,0,5,24,19,1,23,20,12,21,11,8,7,17,3,2,25,13,6,10,22,9
Shikhar Dhawan,16,11,20,8,7,5,0,18,8,2,22,13,4,6,10,15,14,21,3,1,24,23,17,12,19,25
Shane Watson,22,19,4,15,23,21,14,0,16,2,24,9,13,18,7,10,8,16,6,1,25,11,3,5,20,12
de Villiers,18,24,9,21,15,14,4,12,0,2,22,19,11,13,6,5,7,20,3,1,22,16,8,10,25,17
Michael Hussey,14,9,24,3,1,4,6,7,12,0,22,5,10,11,18,23,16,15,8,2,18,17,25,21,20,13
Rohit Sharma,19,21,6,12,22,17,15,23,25,2,0,20,18,24,8,4,5,14,9,1,16,11,3,7,13,10
David Warner,14,25,12,22,17,19,10,9,23,2,20,0,11,21,7,4,5,16,6,1,17,13,3,8,24,15
Manish Pandey,24,9,6,17,10,12,3,18,19,1,22,14,0,8,4,5,15,23,7,2,25,20,16,13,21,11
Yusuf Pathan,22,12,10,20,15,17,5,16,14,2,23,18,6,0,3,9,7,21,4,1,25,13,8,11,24,19
Dinesh Karthik,24,6,8,5,3,14,17,18,15,2,9,12,7,4,0,10,16,25,20,1,21,23,22,19,10,13
Parthiv Patel,4,24,15,8,21,11,25,22,20,5,9,17,16,23,19,0,2,3,18,1,6,14,12,10,13,7
Aaron Finch,4,22,12,6,17,7,21,19,24,2,13,13,23,20,18,3,0,11,5,1,9,25,15,10,8,16
Dwayne Smith,15,21,6,11,23,17,18,16,24,2,14,19,22,25,20,4,7,0,8,1,12,10,3,5,13,9
Murali Vijay,6,13,23,7,8,3,5,18,4,2,19,15,10,14,25,17,12,11,0,1,16,22,24,20,9,21
Sanju Samson,6,24,22,8,14,12,15,16,9,11,13,21,19,20,23,17,5,6,4,0,10,1,25,3,18,2
Ajinkya Rahane,12,22,4,11,24,19,17,21,23,2,15,18,20,25,16,3,7,10,9,1,0,13,5,6,14,8
David Miller,19,24,3,9,21,12,14,17,25,4,11,16,22,23,15,7,18,10,20,1,13,0,2,5,8,6
Yuvraj Singh,16,22,9,14,17,7,21,12,19,25,5,15,20,18,22,4,13,8,24,3,10,2,0,11,6,1
Brendon McCullum,7,25,15,11,17,14,19,16,24,4,9,20,21,23,22,7,13,10,18,1,6,3,12,0,5,2
Chris Gayle,14,24,10,20,21,19,17,18,25,2,13,22,16,23,9,5,6,12,7,1,15,8,3,4,0,11
Kieron Pollard,12,25,11,16,21,8,22,19,23,2,14,20,17,24,13,6,10,7,18,1,9,5,4,3,15,0
