bowler,Gautam Gambhir,Suresh Raina,Steve Smith,Virat Kohli,MS Dhoni,Robin Uthappa,Shikhar Dhawan,Shane Watson,de Villiers,Michael Hussey,Rohit Sharma,David Warner,Manish Pandey,Yusuf Pathan,Dinesh Karthik,Parthiv Patel,Aaron Finch,Dwayne Smith,Murali Vijay,Sanju Samson,Ajinkya Rahane,David Miller,Yuvraj Singh,Brendon McCullum,Chris Gayle,Kieron Pollard
Gautam Gambhir,0,19,1,25,14,3,23,16,12,24,4,15,22,9,10,8,6,10,17,21,18,13,5,7,2,20
Suresh Raina,15,0,16,18,6,17,10,4,7,9,13,24,25,8,21,11,19,22,3,5,1,23,12,20,14,2
Steve Smith,1,19,0,25,15,2,23,16,13,24,4,14,22,11,9,8,5,10,17,21,18,12,7,6,3,20
Virat Kohli,16,5,17,0,9,18,2,8,10,1,14,24,25,11,21,12,19,22,7,3,6,23,13,20,15,4
MS Dhoni,12,8,13,24,0,15,18,2,1,19,9,23,25,3,20,4,16,20,5,14,6,22,7,17,10,11
Robin Uthappa,2,19,1,25,15,0,23,16,14,24,6,12,21,13,9,11,3,7,17,22,18,10,8,4,5,20
Shikhar Dhawan,16,4,17,6,9,18,0,8,10,1,14,24,25,11,21,12,19,22,7,2,5,23,13,20,15,3
Shane Watson,13,6,14,24,2,17,15,0,4,16,11,23,25,5,20,8,18,21,1,10,3,22,9,19,12,7
de Villiers,11,10,12,24,1,14,20,3,0,21,7,23,25,2,18,4,16,19,6,15,8,22,5,17,9,13
Michael Hussey,16,4,17,5,9,18,1,8,10,0,14,24,25,11,21,12,19,22,7,2,6,23,13,20,15,3
Rohit Sharma,3,19,4,25,9,7,22,12,8,23,0,18,24,6,14,5,10,13,16,21,17,15,2,11,1,20
David Warner,8,20,7,25,16,6,23,17,15,24,11,0,9,14,2,13,5,3,18,22,19,1,12,4,10,21
Manish Pandey,9,20,8,25,16,7,23,17,15,24,11,1,0,14,3,13,6,4,18,22,19,2,12,5,10,21
Yusuf Pathan,9,12,10,24,3,13,21,6,2,23,5,22,25,0,18,1,15,19,8,17,11,20,4,16,7,14
Dinesh Karthik,8,20,7,25,16,6,23,17,15,24,10,3,13,14,0,12,5,2,18,22,19,1,11,4,9,21
Parthiv Patel,7,13,9,24,5,11,22,7,3,23,3,21,25,1,17,0,14,18,10,20,12,19,2,15,6,16
Aaron Finch,7,20,6,25,15,2,23,16,14,24,10,8,17,13,3,12,0,3,17,22,19,5,11,1,9,21
Dwayne Smith,8,20,7,25,16,6,23,17,15,24,10,3,13,14,1,12,5,0,18,22,19,2,11,4,9,21
Murali Vijay,15,3,16,21,5,17,12,2,6,13,11,24,25,7,20,9,18,22,0,8,1,23,10,19,13,4
Sanju Samson,16,4,17,11,8,18,2,7,9,3,14,24,25,10,21,12,19,22,6,0,5,23,13,20,15,1
Ajinkya Rahane,15,2,16,20,5,17,10,3,7,11,13,24,25,8,21,9,18,22,1,6,0,23,12,19,14,4
David Miller,8,20,7,25,16,6,23,17,15,24,10,3,12,14,1,13,5,2,18,22,19,0,11,4,9,21
Yuvraj Singh,5,17,7,25,8,9,22,10,6,23,1,20,24,3,16,2,11,15,13,21,14,18,0,12,4,19
Brendon McCullum,7,20,6,25,15,4,23,16,14,24,10,8,17,13,2,12,1,3,18,22,19,5,11,0,9,21
Chris Gayle,2,19,3,25,11,5,22,14,9,23,1,17,24,7,12,6,8,13,16,21,18,15,4,9,0,20
Kieron Pollard,16,1,17,15,8,18,6,5,9,7,13,24,25,10,21,11,19,22,4,2,3,23,12,20,14,0
