bowler,Gautam Gambhir,Suresh Raina,Steve Smith,Virat Kohli,MS Dhoni,Robin Uthappa,Shikhar Dhawan,Shane Watson,de Villiers,Michael Hussey,Rohit Sharma,David Warner,Manish Pandey,Yusuf Pathan,Dinesh Karthik,Parthiv Patel,Aaron Finch,Dwayne Smith,Murali Vijay,Sanju Samson,Ajinkya Rahane,David Miller,Yuvraj Singh,Brendon McCullum,Chris Gayle,Kieron Pollard
Gautam Gambhir,0,21,1,9,16,3,25,17,20,13,5,19,12,22,8,7,14,10,11,15,23,18,4,2,6,24
Suresh Raina,18,0,19,2,8,20,9,7,10,6,16,25,17,12,21,13,22,23,1,3,5,24,11,15,14,4
Steve Smith,3,22,0,9,17,2,25,18,16,13,7,20,14,21,8,6,11,10,12,15,23,19,5,1,4,24
Virat Kohli,23,3,19,0,7,15,2,8,9,1,13,24,25,12,21,14,17,22,11,4,6,16,10,20,18,5
MS Dhoni,17,10,18,6,0,19,14,1,2,9,13,25,20,4,22,11,21,23,3,7,8,24,5,16,15,12
Robin Uthappa,3,22,2,9,18,0,25,19,20,14,11,17,13,21,5,7,8,6,12,15,23,16,4,1,10,24
Shikhar Dhawan,22,5,20,3,9,21,0,6,14,1,18,25,13,15,16,10,24,17,4,2,11,23,8,12,19,7
Shane Watson,17,10,18,6,3,19,13,0,1,8,14,25,20,4,21,12,22,23,2,7,5,24,9,16,15,11
de Villiers,18,10,14,7,2,17,24,1,0,9,13,23,16,6,15,4,25,19,3,8,11,21,5,12,20,22
Michael Hussey,16,4,18,1,12,17,2,7,10,0,14,24,25,9,22,11,20,19,8,3,6,23,13,21,15,5
Rohit Sharma,4,20,6,7,12,9,25,13,15,10,0,23,18,16,14,3,19,17,8,11,21,22,1,5,2,24
David Warner,11,22,11,7,18,9,25,19,20,13,17,0,5,21,1,15,6,3,10,14,23,2,8,4,16,24
Manish Pandey,8,20,9,11,17,7,23,18,13,25,12,2,0,14,3,16,5,4,21,24,19,1,15,6,10,22
Yusuf Pathan,18,11,17,7,3,19,24,5,6,8,14,25,15,0,16,1,22,20,4,9,12,23,2,10,13,21
Dinesh Karthik,8,23,9,10,21,7,25,20,13,17,12,3,6,16,0,19,5,1,15,18,22,2,14,4,11,24
Parthiv Patel,8,19,10,7,11,15,23,13,3,9,4,25,20,2,22,0,17,21,5,12,16,24,1,14,6,18
Aaron Finch,11,20,8,10,18,5,25,19,22,14,15,7,6,21,3,12,0,2,13,16,23,4,9,1,17,24
Dwayne Smith,8,23,9,10,20,6,25,21,18,15,13,5,7,19,1,16,3,0,14,17,22,4,12,2,11,24
Murali Vijay,16,5,17,8,6,18,9,2,3,12,14,24,25,7,22,11,19,21,0,10,1,23,13,20,15,4
Sanju Samson,16,6,17,2,10,18,1,7,9,4,15,24,25,11,22,12,19,21,8,0,5,23,13,20,14,3
Ajinkya Rahane,19,2,21,5,7,22,14,4,9,6,17,25,15,12,18,10,23,20,1,3,0,24,8,13,16,11
David Miller,11,22,12,7,18,9,25,19,20,13,17,4,6,21,1,14,5,2,10,15,23,0,8,3,15,24
Yuvraj Singh,6,16,9,11,7,10,21,8,5,14,4,23,25,2,24,1,19,20,12,15,13,22,0,16,3,18
Brendon McCullum,8,24,5,13,17,3,25,18,11,21,9,7,15,12,4,16,2,1,19,22,20,6,14,0,10,23
Chris Gayle,5,18,3,9,15,8,25,14,19,10,1,22,16,17,13,4,21,11,7,12,23,20,2,6,0,24
Kieron Pollard,21,3,19,3,8,20,10,6,15,5,17,24,14,13,16,11,25,18,2,1,9,23,7,12,22,0
