Player,EFScore
Virat Kohli,0.158
David Warner,0.158
Shane Watson,0.135
Shikhar Dhawan,0.133
Ajinkya Rahane,0.129
Chris Gayle,0.126
Suresh Raina,0.123
de Villiers,0.117
Rohit Sharma,0.117
Kieron Pollard,0.115
Gautam Gambhir,0.113
Robin Uthappa,0.113
Dwayne Smith,0.11
MS Dhoni,0.107
Michael Hussey,0.098
Steve Smith,0.083
Yusuf Pathan,0.083
Murali Vijay,0.081
Yuvraj Singh,0.081
Brendon McCullum,0.077
David Miller,0.075
Dinesh Karthik,0.073
Manish Pandey,0.072
Aaron Finch,0.066
Sanju Samson,0.064
Parthiv Patel,0.058
