icc_match_id,match_date,match_time,home_team,away_team,match_name,tournament_name,match_type,innings_count,hawkeye_link
2,2012-04-04,20:00,Chennai Super Kings,Mumbai Indians,ipl2012-01,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/2/uds/traj
3,2012-04-05,20:00,Kolkata Knight Riders,Delhi Daredevils,ipl2012-02,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/3/uds/traj
4,2012-04-06,16:00,Mumbai Indians,Pune Warriors India,ipl2012-03,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/4/uds/traj
5,2012-04-06,20:00,Rajasthan Royals,Kings XI Punjab,ipl2012-04,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/5/uds/traj
6,2012-04-07,16:00,Royal Challengers Bangalore,Delhi Daredevils,ipl2012-05,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/6/uds/traj
7,2012-04-07,20:00,Deccan Chargers,Chennai Super Kings,ipl2012-06,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/7/uds/traj
8,2012-04-08,16:00,Rajasthan Royals,Kolkata Knight Riders,ipl2012-07,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/8/uds/traj
9,2012-04-08,20:00,Pune Warriors India,Kings XI Punjab,ipl2012-08,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/9/uds/traj
10,2012-04-09,20:00,Deccan Chargers,Mumbai Indians,ipl2012-09,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/10/uds/traj
11,2012-04-10,16:00,Royal Challengers Bangalore,Kolkata Knight Riders,ipl2012-10,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/11/uds/traj
12,2012-04-10,20:00,Delhi Daredevils,Chennai Super Kings,ipl2012-11,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/12/uds/traj
13,2012-04-11,20:00,Mumbai Indians,Rajasthan Royals,ipl2012-12,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/13/uds/traj
