YEAR,INNINGS_OVER_BALL,BATSMAN,BOWLER,BOWL_SPEED,CREDIT,DEBIT,IS_RHB,PITCHED_X,PITCHED_Y,STUMPS_Y,STUMPS_Z,LANDING_X,LANDING_Y
2016,2016.13.1.0.1,Murali Vijay,Morne Morkel,38.042,0,0,y,8.711,-0.524,-0.549,1.179,5,5
2016,2016.13.1.0.2,Murali Vijay,Morne Morkel,38.400,0,0,y,8.885,-0.429,-0.274,1.238,38,32
2016,2016.13.1.0.3,Murali Vijay,Morne Morkel,39.696,0,0,y,8.355,-0.345,-0.103,1.065,44,37
2016,2016.13.1.0.4,Murali Vijay,Morne Morkel,39.991,4,4,y,7.165,-0.427,-0.243,0.892,56,93
2016,2016.13.1.0.5,Murali Vijay,Morne Morkel,38.668,1,1,y,7.830,-0.218,0.033,1.062,56,49
2016,2016.13.1.0.6,Manan Vohra,Morne Morkel,37.917,0,0,y,7.057,-0.270,-0.053,0.946,53,46
2016,2016.13.1.1.1,Murali Vijay,Umesh Yadav,35.852,0,0,y,7.954,-0.012,0.159,0.827,57,22
2016,2016.13.1.1.2,Murali Vijay,Umesh Yadav,35.494,2,2,y,7.815,-0.085,0.275,0.979,84,21
2016,2016.13.1.1.3,Murali Vijay,Umesh Yadav,38.925,1,1,y,6.310,-0.247,-0.279,0.727,35,13
2016,2016.13.1.1.4,Manan Vohra,Umesh Yadav,38.848,0,0,y,6.703,-0.301,-0.234,0.841,40,35
2016,2016.13.1.1.5,Manan Vohra,Umesh Yadav,38.572,2,2,y,4.128,-0.170,-0.232,0.537,30,64
2016,2016.13.1.1.6,Manan Vohra,Umesh Yadav,38.534,1,1,y,8.651,-0.190,-0.055,1.065,60,42
2016,2016.13.1.2.1,Manan Vohra,Shakib Al Hasan,24.018,0,0,y,3.848,-0.429,-0.235,0.636,37,39
2016,2016.13.1.2.2,Manan Vohra,Shakib Al Hasan,26.147,0,0,y,6.203,-0.198,0.259,0.692,56,41
2016,2016.13.1.2.3,Manan Vohra,Shakib Al Hasan,23.861,0,0,y,5.820,0.016,0.231,0.695,43,40
2016,2016.13.1.2.4,Manan Vohra,Shakib Al Hasan,26.622,0,1,y,4.535,-0.039,0.390,0.593,5,5
2016,2016.13.1.2.5,Manan Vohra,Shakib Al Hasan,22.852,1,1,y,3.373,-0.180,0.034,0.573,85,56
2016,2016.13.1.2.6,Murali Vijay,Shakib Al Hasan,23.122,4,4,y,5.554,-0.425,-0.222,0.723,7,43
2016,2016.13.1.2.7,Murali Vijay,Shakib Al Hasan,28.610,0,0,y,4.440,-0.244,0.024,0.774,43,25
2016,2016.13.1.3.1,Manan Vohra,Morne Morkel,35.960,2,2,y,8.313,-0.346,-0.061,1.209,74,32
2016,2016.13.1.3.2,Manan Vohra,Morne Morkel,35.826,0,0,y,7.535,-0.346,-0.041,0.974,48,37
2016,2016.13.1.3.3,Manan Vohra,Morne Morkel,34.728,2,2,y,10.687,-0.295,0.409,1.566,36,12
2016,2016.13.1.3.4,Manan Vohra,Morne Morkel,34.972,0,0,y,7.873,-0.361,-0.067,1.007,0,0
2016,2016.13.1.3.5,Murali Vijay,Morne Morkel,36.002,1,1,y,7.614,-0.169,0.222,0.975,69,35
2016,2016.13.1.3.6,Shaun Marsh,Morne Morkel,38.792,4,4,n,5.333,0.598,0.565,0.679,95,42
2016,2016.13.1.4.1,Murali Vijay,Shakib Al Hasan,23.445,1,1,y,5.562,-0.053,0.187,0.833,71,45
2016,2016.13.1.4.2,Shaun Marsh,Shakib Al Hasan,21.839,0,0,n,6.323,0.585,-0.233,0.799,39,39
2016,2016.13.1.4.3,Shaun Marsh,Shakib Al Hasan,24.704,1,1,n,3.916,0.303,0.325,0.560,31,73
2016,2016.13.1.4.4,Murali Vijay,Shakib Al Hasan,27.148,4,4,y,5.846,-0.578,-0.295,0.581,7,35
2016,2016.13.1.4.5,Murali Vijay,Shakib Al Hasan,25.350,1,1,y,4.897,0.018,0.310,0.626,76,47
2016,2016.13.1.4.6,Shaun Marsh,Shakib Al Hasan,22.751,2,2,n,4.286,0.201,0.080,0.738,27,65
2016,2016.13.1.5.1,Murali Vijay,Morne Morkel,39.309,0,0,y,7.378,-0.144,0.103,0.960,40,37
2016,2016.13.1.5.2,Murali Vijay,Morne Morkel,39.115,4,4,y,9.563,-0.395,0.004,1.185,92,48
2016,2016.13.1.5.3,Murali Vijay,Morne Morkel,35.918,1,1,y,10.831,-0.431,0.154,1.539,54,37
2016,2016.13.1.5.4,Shaun Marsh,Morne Morkel,38.444,0,0,n,9.214,0.548,0.372,1.237,64,34
2016,2016.13.1.5.5,Shaun Marsh,Morne Morkel,38.571,0,0,n,7.449,0.761,0.684,0.879,67,35
2016,2016.13.1.5.6,Shaun Marsh,Morne Morkel,36.924,1,1,n,10.698,-0.284,0.216,1.448,58,31
2016,2016.13.1.6.1,Shaun Marsh,Sunil Narine,23.988,0,0,n,5.715,-0.109,0.156,0.780,60,37
2016,2016.13.1.6.2,Shaun Marsh,Sunil Narine,26.570,1,1,n,4.241,0.185,0.261,0.646,56,79
2016,2016.13.1.6.3,Murali Vijay,Sunil Narine,26.225,0,0,y,5.339,-0.565,-0.763,0.685,5,5
2016,2016.13.1.6.4,Murali Vijay,Sunil Narine,20.921,1,1,y,6.488,-0.105,0.154,0.869,77,30
2016,2016.13.1.6.5,Shaun Marsh,Sunil Narine,24.310,0,0,n,5.495,-0.119,0.059,0.722,45,40
2016,2016.13.1.6.6,Shaun Marsh,Sunil Narine,23.172,1,1,n,4.048,-0.008,0.287,0.610,58,72
2016,2016.13.1.7.1,Shaun Marsh,Piyush Chawla,23.250,1,1,n,5.279,0.232,-0.072,0.761,58,24
2016,2016.13.1.7.2,Murali Vijay,Piyush Chawla,23.780,1,1,y,6.708,0.059,-0.097,0.740,81,50
2016,2016.13.1.7.3,Shaun Marsh,Piyush Chawla,22.877,1,1,n,4.423,-0.108,0.016,0.612,33,72
2016,2016.13.1.7.4,Murali Vijay,Piyush Chawla,23.617,0,0,y,5.270,-0.051,-0.176,0.724,60,25
2016,2016.13.1.7.5,Murali Vijay,Piyush Chawla,24.724,0,0,y,4.813,-0.267,0.081,0.603,0,0
